Reference, Value, Footprint, Datasheet
C1,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C2,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C3,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C4,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C5,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C6,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C7,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C8,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C9,0.1u,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C11,22p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
C12,22p,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,~
H1,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H2,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H3,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
H4,MountingHole,MountingHole:MountingHole_3.2mm_M3,~
J1,PC8001 Ext Con,Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Horizontal,~
J2,232C JP,Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical,~
J3,232C-1,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,
J4,232C-2,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,
J5,INTJP,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,~
R1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R2,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
R3,1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~
RN1,10k,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
RN2,10k,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf
U1,74LS04,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS04
U2,74LS148,Package_DIP:DIP-16_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS148
U3,74LS541,Package_DIP:DIP-20_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS541
U4,74LS32,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74LS32
U5,74LS00,Package_DIP:DIP-14_W7.62mm_Socket_LongPads,http://www.ti.com/lit/gpn/sn74ls00
U6,74LS138,Package_DIP:DIP-16_W7.62mm_Socket_LongPads,
U7,8251,Package_DIP:DIP-28_W15.24mm_Socket_LongPads,
U8,8251,Package_DIP:DIP-28_W15.24mm_Socket_LongPads,
U9,74HC4060,Package_DIP:DIP-16_W7.62mm_Socket_LongPads,
Y1,19.6608MHZ,Crystal:Crystal_HC49-U_Vertical,~
